idade_usuario,salario_usuario,moradia_usuario,tempo_trabalho_usuario,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_emprestimo,status_emprestimo,renda_percentual_emprestimo,status_inadimplencia,tempo_credito
27,68000,Alugada,4,"Melhoria do lar",A,8700,7.88,0,0.13,N,5
24,12600,Alugada,2,Empreendimento,C,2500,13.11,1,0.2,Y,2
30,100000,Alugada,13,"Pagamento de Débitos",A,12000,7.88,0,0.12,N,9
28,83000,Hipotecada,6,"Pagamento de Débitos",B,5000,NULL,0,0.06,N,9
30,110400,Alugada,1,Empreendimento,D,14000,16.89,1,0.13,N,6
31,26988,Alugada,NULL,Empreendimento,A,5800,6.62,0,0.21,N,9
24,117996,Hipotecada,6,Empreendimento,E,18000,17.04,0,0.15,Y,3
27,24000,Alugada,2,Medico,A,1450,NULL,0,0.06,N,9
21,21600,Alugada,NULL,"Pagamento de Débitos",A,6700,6.92,1,0.31,N,4
21,26400,Alugada,NULL,Pessoal,D,7000,14.84,1,0.27,Y,3
25,39000,Alugada,9,Empreendimento,D,15200,16,1,0.39,N,3
23,54000,Hipotecada,2,Empreendimento,A,7000,6.62,0,0.13,N,3
35,52000,Alugada,2,Medico,B,3000,11.48,0,0.06,N,7
22,42996,Alugada,2,"Pagamento de Débitos",C,14400,NULL,1,0.33,Y,4
26,90000,Hipotecada,10,Pessoal,B,13000,10.59,0,0.14,N,3
22,66300,Alugada,3,Medico,D,7500,14.96,1,0.1,N,2
26,65000,Hipotecada,11,Empreendimento,A,12000,7.9,0,0.18,N,2
26,120000,Hipotecada,10,"Melhoria do lar",D,10000,14.59,0,0.08,Y,2
25,76700,Hipotecada,1,Empreendimento,E,14800,19.42,0,0.19,Y,4
26,105000,Hipotecada,6,"Pagamento de Débitos",B,12000,11.99,0,0.11,N,2
24,101000,Hipotecada,3,Educacao,A,7000,NULL,1,0.07,N,4
24,35364,Alugada,1,Medico,B,20000,12.53,1,0.57,N,4
23,80000,Alugada,6,Empreendimento,A,6500,7.51,0,0.08,N,3
26,38340,Hipotecada,7,Pessoal,B,2500,12.18,1,0.07,N,4
23,60000,Propria,2,Medico,D,18500,15.33,0,0.31,N,2
27,87360,Hipotecada,NULL,"Melhoria do lar",B,7000,10.36,0,0.08,N,6
22,50000,Propria,3,Educacao,A,5000,7.29,0,0.1,N,4
25,50000,Alugada,3,Pessoal,D,4000,14.61,0,0.08,Y,4
31,45000,Hipotecada,16,Empreendimento,B,6000,10.99,0,0.13,N,10
32,62000,Hipotecada,3,Educacao,B,20000,11.36,0,0.32,N,9
22,36000,Propria,6,Educacao,B,14500,10.99,0,0.4,N,3
55,54000,Alugada,4,"Pagamento de Débitos",C,1000,13.99,1,0.02,N,27
22,24000,Alugada,0,"Pagamento de Débitos",C,5200,13.49,0,0.22,Y,2
21,45176,Alugada,1,Medico,B,12000,11.49,0,0.27,N,3
32,86400,Hipotecada,16,Medico,A,8000,6.03,0,0.09,N,10
NULL,45204,Hipotecada,4,,A,11700,10.74,0,0.26,N,2
23,84000,Alugada,1,Empreendimento,A,10000,7.49,0,0.12,N,4
31,60000,Hipotecada,5,Medico,A,7200,6.03,0,0.12,N,8
23,45000,Alugada,4,Educacao,A,9000,5.99,0,0.2,N,3
22,26000,Propria,2,Educacao,A,7100,7.49,0,0.27,N,2
25,87000,Alugada,6,"Pagamento de Débitos",A,13000,7.29,0,0.15,N,2
34,91000,Alugada,11,Medico,B,25000,11.36,0,0.27,N,5
27,125000,Hipotecada,1,"Melhoria do lar",A,24000,6.91,0,0.19,N,8
22,41000,Alugada,2,"Pagamento de Débitos",D,3600,16.77,1,0.09,Y,3
23,32388,Hipotecada,0,Educacao,B,6000,10.71,0,0.19,N,4
29,45324,Hipotecada,4,Pessoal,D,15150,14.54,0,0.33,N,10
36,37008,Alugada,8,Empreendimento,C,6000,14.79,0,0.16,Y,14
44,82000,Hipotecada,5,"Pagamento de Débitos",C,8400,12.84,1,0.1,Y,17
23,79996,Hipotecada,2,Educacao,E,24000,16.32,0,0.3,Y,3
28,39000,Alugada,3,Empreendimento,B,5000,10.25,0,0.13,N,10
22,45000,Hipotecada,6,Empreendimento,A,7000,8.94,0,0.16,N,3
21,27996,Hipotecada,5,Educacao,A,10000,9.63,0,0.36,N,4
26,36000,Alugada,5,Medico,B,8550,10.25,1,0.24,N,2
26,50000,Alugada,2,Empreendimento,A,7000,9.63,0,0.14,N,2
22,80000,Alugada,1,Educacao,B,18000,10.99,0,0.23,N,4
35,50000,Hipotecada,5,"Melhoria do lar",C,6000,13.49,0,0.12,N,6
22,12600,Alugada,2,Pessoal,B,4000,10.37,1,0.32,N,4
22,48000,Hipotecada,6,"Pagamento de Débitos",A,4400,5.99,0,0.09,N,3
26,85000,Hipotecada,8,Medico,A,15000,7.88,0,0.18,N,4
25,45000,Hipotecada,7,Educacao,A,7500,8,0,0.17,N,3
23,30000,Alugada,0,Pessoal,B,1925,12.18,0,0.06,N,2
28,43200,Alugada,1,Medico,A,3000,7.49,0,0.07,N,9
24,225000,Alugada,0,Medico,B,6000,NULL,0,0.03,N,4
33,97000,Hipotecada,15,Pessoal,A,20000,6.17,0,0.21,N,8
26,60000,Hipotecada,8,"Melhoria do lar",B,12000,10.65,0,0.2,N,2
NULL,40800,Hipotecada,7,,C,8500,NULL,0,0.23,N,6
28,76000,Alugada,2,Medico,B,8500,NULL,0,0.11,N,5
28,22000,Propria,5,Educacao,A,8000,6.99,0,0.36,N,5
22,45000,Alugada,3,Empreendimento,B,5000,12.42,0,0.11,N,2
26,65219,Alugada,11,"Pagamento de Débitos",D,21000,14.09,1,0.32,N,3
23,70000,Hipotecada,5,Educacao,B,20000,12.21,0,0.29,N,4
30,34000,Alugada,0,Medico,D,6500,16.32,0,NULL,,10
34,25200,Alugada,NULL,Empreendimento,A,3000,7.66,0,0.12,N,8
38,34296,Propria,1,Medico,C,12000,NULL,0,0.35,Y,12
30,57000,Hipotecada,2,Empreendimento,A,6000,7.51,0,0.11,N,8
27,102000,Hipotecada,9,Pessoal,A,6000,7.49,0,0.06,N,9
25,31200,Hipotecada,3,Medico,A,11200,5.42,0,0.36,N,2
35,32900,Alugada,4,"Melhoria do lar",C,4800,13.23,1,0.15,Y,9
32,58000,Alugada,4,Pessoal,B,12000,11.26,0,0.21,N,10
24,29232,Hipotecada,1,,B,6000,NULL,1,NULL,N,3
30,67000,Hipotecada,6,"Melhoria do lar",A,10000,6.99,0,0.15,N,6
26,80000,Hipotecada,10,Pessoal,B,25000,10.62,0,0.31,N,4
25,42996,Propria,1,Empreendimento,D,7200,14.11,0,0.17,N,4
24,56000,Hipotecada,2,Educacao,C,5250,12.87,0,0.09,N,2
39,18300,Alugada,0,Educacao,D,1200,14.74,1,0.07,N,17
22,60000,Propria,7,Empreendimento,D,15000,16.49,0,0.25,Y,2
21,41900,Alugada,2,Empreendimento,C,16000,12.84,1,0.38,Y,2
22,32000,Alugada,1,Educacao,D,5400,16.29,1,0.17,Y,2
24,40944,Alugada,0,Medico,B,8200,11.36,0,0.2,N,4
30,30000,Hipotecada,3,"Melhoria do lar",B,4400,11.99,1,0.15,N,5
23,60000,Alugada,0,Empreendimento,A,8400,7.49,0,0.14,N,3
27,30000,Alugada,5,Pessoal,B,4975,10.37,0,0.17,N,10
22,105000,Hipotecada,6,"Pagamento de Débitos",B,12800,11.83,0,0.12,N,3
27,67200,Alugada,0,Pessoal,A,8000,6.03,0,0.12,N,5
26,110000,Alugada,10,Educacao,A,NULL,NULL,NULL,0.3,N,2
27,55200,Propria,4,Educacao,B,4000,NULL,0,0.07,N,10
35,95028,Alugada,2,"Melhoria do lar",D,5000,14.42,1,0.05,Y,6
22,48000,Alugada,2,"Pagamento de Débitos",A,9000,7.88,0,0.19,N,2
22,71004,Alugada,6,Educacao,B,1800,11.12,0,0.03,N,4
26,47000,Alugada,0,Pessoal,B,8000,10,0,0.17,N,4
26,75000,Propria,10,Empreendimento,B,7000,10.59,0,0.09,N,4
32,160000,Hipotecada,2,Medico,B,3200,NULL,0,0.02,N,5
24,55152,Hipotecada,8,Educacao,B,16000,11.49,0,0.29,N,4
25,52000,Alugada,9,Medico,C,17000,12.98,1,0.33,Y,2
34,89000,Alugada,3,"Melhoria do lar",D,35000,18.25,1,0.39,N,8
26,80000,Alugada,0,"Melhoria do lar",A,8000,5.99,0,0.1,N,2
36,24000,Hipotecada,2,"Pagamento de Débitos",A,1500,9.63,0,0.06,N,16
31,78000,Alugada,1,Educacao,A,14000,9.63,0,0.18,N,5
23,65000,Alugada,0,Educacao,B,10000,11.49,0,0.15,N,4
24,96408,Alugada,1,Educacao,C,7700,12.53,0,0.08,Y,4
